labels_key,labels_value,sku_description,cost,time
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,6.01
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Storage PD Capacity,0.041678,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Storage PD Capacity,0.01652,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Storage PD Capacity,0.02173,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Storage PD Capacity,0.040363,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Intra Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Ram running in Americas,0.061348,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Ram running in Americas,0.02447,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Ram running in Americas,0.032765,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Ram running in Americas,0.059407,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Core running in Americas,0.135635,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Core running in Americas,0.054092,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Core running in Americas,0.072439,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Custom instance Core running in Americas,0.131341,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to APAC,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from APAC to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from APAC to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from APAC to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from EMEA to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from EMEA to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from EMEA to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from EMEA to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from China to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to Americas,5.00E-06,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Network Inter Region Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,6.000833333
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Storage PD Capacity,0.041683,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Storage PD Capacity,0.040358,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Storage PD Capacity,0.016395,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Storage PD Capacity,0.019154,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-2c3a5bed-98ea-4f73-9f46-3f3000bfc284,markduplicatespersistent-p,markduplicatespersistent",Network Inter Zone Ingress,0,
