labels_key,labels_value,sku_description,cost,time
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-2-7gb-375---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-2-7gb-375-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-2-7gb-750---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-2-7gb-750-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-104gb-375---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-104gb-375-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-104gb-750---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-104gb-750-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-15gb-375---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-15gb-375-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-15gb-750---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-15gb-750-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-30gb-375---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-30gb-375-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-30gb-750---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-30gb-750-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-60gb-375---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-60gb-375-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-60gb-750---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-32-60gb-750-p,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-0bfdbf14-d7d9-4d2f-b48b-56832fccde14,newtool-nioinput-4-15gb-375---x,markduplicatessparknew1",Network Internet Egress from Americas to EMEA,0,0
