labels_key,labels_value,sku_description,cost,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Inter Zone Ingress,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Storage PD Capacity,0.017911,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Storage PD Capacity,0.040543,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Storage PD Capacity,0.04056,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Storage PD Capacity,0.017516,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Ingress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (RAM cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Egress from Americas to Americas,8.00E-06,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Egress from Americas to Americas,0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Licensing Fee for Container-Optimized OS from Google (CPU cost),0,
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent",Network Internet Egress from Americas to EMEA,0,5.7775
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p",Network Internet Egress from Americas to EMEA,0,5.488611111
"cromwell-workflow-id,wdl-call-alias,wdl-task-name","cromwell-c22c3981-efa0-4488-b003-5564f3fa5483,markduplicatespersistent-p,markduplicatespersistent",Network Google Ingress from Americas to Americas,0,
